Roll No,cat 1,cat 2,cat 3,overall,conversion,Result
1,39,13,18,70,46,slow leaners
2,14,40,43,97,64,Average learners
3,32,25,17,74,49,slow leaners
4,21,24,43,88,58,Average learners
5,36,24,40,100,66,Average learners
6,24,45,18,87,58,Average learners
7,31,46,27,104,69,Average learners
8,45,12,44,101,67,Average learners
9,24,46,15,85,56,Average learners
10,32,19,28,79,52,Average learners
11,36,20,24,80,53,Average learners
12,13,49,29,91,60,Average learners
13,16,18,19,53,35,slow leaners
14,43,47,18,108,72,fast learners
15,49,31,37,117,78,fast learners
16,37,23,38,98,65,Average learners
17,22,13,33,68,45,slow leaners
18,41,49,39,129,86,fast learners
19,25,48,21,94,62,Average learners
20,38,19,33,90,60,Average learners
21,33,46,39,118,78,fast learners
22,37,13,41,91,60,Average learners
23,26,12,23,61,40,slow leaners
24,25,32,16,73,48,slow leaners
25,28,47,25,100,66,Average learners
26,38,47,32,117,78,fast learners
27,40,15,47,102,68,Average learners
28,37,10,22,69,46,slow leaners
29,45,11,18,74,49,slow leaners
30,14,38,26,78,52,Average learners
31,29,46,18,93,62,Average learners
32,45,43,24,112,74,fast learners
33,30,49,15,94,62,Average learners
34,30,36,27,93,62,Average learners
35,26,39,28,93,62,Average learners
36,47,42,13,102,68,Average learners
37,41,42,23,106,70,fast learners
38,31,20,44,95,63,Average learners
39,12,33,11,56,37,slow leaners
40,42,34,12,88,58,Average learners
41,32,39,19,90,60,Average learners
42,41,21,47,109,72,fast learners
43,24,36,22,82,54,Average learners
44,27,48,21,96,64,Average learners
45,33,22,12,67,44,slow leaners
46,35,28,19,82,54,Average learners
47,17,15,43,75,50,Average learners
48,22,47,22,91,60,Average learners
49,29,26,30,85,56,Average learners
50,36,37,22,95,63,Average learners
51,30,14,37,81,54,Average learners
52,47,14,26,87,58,Average learners
53,30,17,39,86,57,Average learners
54,19,26,44,89,59,Average learners
55,21,11,43,75,50,Average learners
56,36,12,26,74,49,slow leaners
